numeroPedido,clienteId,fechaEntrega,estado,zonaId,requiresRefrigeration
E001,CLI-9999,2026-02-15,PENDIENTE,ZONA1,false
E002,CLI-8888,2026-02-16,PENDIENTE,ZONA2,false
E003,CLI-7777,2026-02-17,PENDIENTE,ZONA1,true
E004,CLI-6666,2026-02-18,PENDIENTE,ZONA3,true
E005,CLI-5555,2026-02-19,PENDIENTE,ZONA2,false
E006,CLI-4444,2026-02-20,PENDIENTE,ZONA4,false
E007,CLI-3333,2026-02-21,PENDIENTE,ZONA1,true
E008,CLI-2222,2026-02-22,PENDIENTE,ZONA2,false
E009,CLI-1111,2026-02-23,PENDIENTE,ZONA3,true
E010,CLI-0000,2026-02-24,PENDIENTE,ZONA4,false
E011,CLI-1,2020-01-01,PENDIENTE,ZONA1,false
E012,CLI-2,2020-02-01,PENDIENTE,ZONA2,false
E013,CLI-3,2020-03-01,PENDIENTE,ZONA3,true
E014,CLI-4,2020-04-01,PENDIENTE,ZONA4,false
E015,CLI-5,2020-05-01,PENDIENTE,ZONA1,true
E016,CLI-6,2020-06-01,PENDIENTE,ZONA2,false
E017,CLI-7,2020-07-01,PENDIENTE,ZONA3,true
E018,CLI-8,2020-08-01,PENDIENTE,ZONA4,false
E019,CLI-9,2020-09-01,PENDIENTE,ZONA1,false
E020,CLI-10,2020-10-01,PENDIENTE,ZONA2,false
E021,CLI-1,2026-02-15,PENDIENTE,ZONA999,false
E022,CLI-2,2026-02-16,PENDIENTE,ZONA888,false
E023,CLI-3,2026-02-17,PENDIENTE,ZONA777,true
E024,CLI-4,2026-02-18,PENDIENTE,ZONA666,true
E025,CLI-5,2026-02-19,PENDIENTE,ZONA555,false
E026,CLI-6,2026-02-20,PENDIENTE,ZONA444,false
E027,CLI-7,2026-02-21,PENDIENTE,ZONA333,true
E028,CLI-8,2026-02-22,PENDIENTE,ZONA222,false
E029,CLI-9,2026-02-23,PENDIENTE,ZONA111,true
E030,CLI-10,2026-02-24,PENDIENTE,ZONA000,false
E031,CLI-1,2026-02-15,PENDIENTE,ZONA2,true
E032,CLI-2,2026-02-16,PENDIENTE,ZONA2,true
E033,CLI-3,2026-02-17,PENDIENTE,ZONA2,true
E034,CLI-4,2026-02-18,PENDIENTE,ZONA2,true
E035,CLI-5,2026-02-19,PENDIENTE,ZONA2,true
E036,CLI-6,2026-02-20,PENDIENTE,ZONA2,true
E037,CLI-7,2026-02-21,PENDIENTE,ZONA2,true
E038,CLI-8,2026-02-22,PENDIENTE,ZONA2,true
E039,CLI-9,2026-02-23,PENDIENTE,ZONA2,true
E040,CLI-10,2026-02-24,PENDIENTE,ZONA2,true
E041,CLI-1,2026-02-15,PENDIENTE,ZONA2,true
E042,CLI-2,2026-02-16,PENDIENTE,ZONA2,true
E043,CLI-3,2026-02-17,PENDIENTE,ZONA2,true
E044,CLI-4,2026-02-18,PENDIENTE,ZONA2,true
E045,CLI-5,2026-02-19,PENDIENTE,ZONA2,true
E046,CLI-6,2026-02-20,PENDIENTE,ZONA2,true
E047,CLI-7,2026-02-21,PENDIENTE,ZONA2,true
E048,CLI-8,2026-02-22,PENDIENTE,ZONA2,true
E049,CLI-9,2026-02-23,PENDIENTE,ZONA2,true
E050,CLI-10,2026-02-24,PENDIENTE,ZONA2,true
E051,CLI-1,2026-02-15,PENDIENTE,ZONA1,false
E052,CLI-2,2026-02-16,PENDIENTE,ZONA2,false
E053,CLI-3,2026-02-17,PENDIENTE,ZONA1,true
E054,CLI-4,2026-02-18,PENDIENTE,ZONA3,true
E055,CLI-5,2026-02-19,PENDIENTE,ZONA2,false
E056,CLI-6,2026-02-20,PENDIENTE,ZONA4,false
E057,CLI-7,2026-02-21,PENDIENTE,ZONA1,true
E058,CLI-8,2026-02-22,PENDIENTE,ZONA2,false
E059,CLI-9,2026-02-23,PENDIENTE,ZONA3,true
E060,CLI-10,2026-02-24,PENDIENTE,ZONA4,false
E061,CLI-11,2026-02-25,PENDIENTE,ZONA1,false
E062,CLI-12,2026-02-26,PENDIENTE,ZONA2,false
E063,CLI-13,2026-02-27,PENDIENTE,ZONA3,true
E064,CLI-14,2026-02-28,PENDIENTE,ZONA4,false
E065,CLI-15,2026-03-01,PENDIENTE,ZONA1,true
E066,CLI-16,2026-03-02,PENDIENTE,ZONA2,false
E067,CLI-17,2026-03-03,PENDIENTE,ZONA3,true
E068,CLI-18,2026-03-04,PENDIENTE,ZONA4,false
E069,CLI-19,2026-03-05,PENDIENTE,ZONA1,false
E070,CLI-20,2026-03-06,PENDIENTE,ZONA2,false
E071,CLI-1,2026-02-15,PENDIENTE,ZONA2,true
E072,CLI-2,2026-02-16,PENDIENTE,ZONA2,true
E073,CLI-3,2026-02-17,PENDIENTE,ZONA2,true
E074,CLI-4,2026-02-18,PENDIENTE,ZONA2,true
E075,CLI-5,2026-02-19,PENDIENTE,ZONA2,true
E076,CLI-6,2026-02-20,PENDIENTE,ZONA2,true
E077,CLI-7,2026-02-21,PENDIENTE,ZONA2,true
E078,CLI-8,2026-02-22,PENDIENTE,ZONA2,true
E079,CLI-9,2026-02-23,PENDIENTE,ZONA2,true
E080,CLI-10,2026-02-24,PENDIENTE,ZONA2,true
E081,CLI-1,2026-02-15,PENDIENTE,ZONA1,false
E082,CLI-2,2026-02-16,PENDIENTE,ZONA2,false
E083,CLI-3,2026-02-17,PENDIENTE,ZONA1,true
E084,CLI-4,2026-02-18,PENDIENTE,ZONA3,true
E085,CLI-5,2026-02-19,PENDIENTE,ZONA2,false
E086,CLI-6,2026-02-20,PENDIENTE,ZONA4,false
E087,CLI-7,2026-02-21,PENDIENTE,ZONA1,true
E088,CLI-8,2026-02-22,PENDIENTE,ZONA2,false
E089,CLI-9,2026-02-23,PENDIENTE,ZONA3,true
E090,CLI-10,2026-02-24,PENDIENTE,ZONA4,false
E091,CLI-11,2026-02-25,PENDIENTE,ZONA1,false
E092,CLI-12,2026-02-26,PENDIENTE,ZONA2,false
E093,CLI-13,2026-02-27,PENDIENTE,ZONA3,true
E094,CLI-14,2026-02-28,PENDIENTE,ZONA4,false
E095,CLI-15,2026-03-01,PENDIENTE,ZONA1,true
E096,CLI-16,2026-03-02,PENDIENTE,ZONA2,false
E097,CLI-17,2026-03-03,PENDIENTE,ZONA3,true
E098,CLI-18,2026-03-04,PENDIENTE,ZONA4,false
E099,CLI-19,2026-03-05,PENDIENTE,ZONA1,false
E100,CLI-20,2026-03-06,PENDIENTE,ZONA2,false
