numeroPedido,clienteId,fechaEntrega,estado,zonaId,requiresRefrigeration
P151,CLI-1,2026-02-15,PENDIENTE,ZONA1,false
P152,CLI-2,2026-02-16,PENDIENTE,ZONA2,false
P153,CLI-3,2026-02-17,PENDIENTE,ZONA1,true
P154,CLI-4,2026-02-18,PENDIENTE,ZONA3,true
P155,CLI-5,2026-02-19,PENDIENTE,ZONA2,false
P156,CLI-6,2026-02-20,PENDIENTE,ZONA4,false
P157,CLI-7,2026-02-21,PENDIENTE,ZONA1,true
P158,CLI-8,2026-02-22,PENDIENTE,ZONA2,false
P159,CLI-9,2026-02-23,PENDIENTE,ZONA3,true
P160,CLI-10,2026-02-24,PENDIENTE,ZONA4,false
P161,CLI-11,2026-02-25,PENDIENTE,ZONA1,false
P162,CLI-12,2026-02-26,PENDIENTE,ZONA2,false
P163,CLI-13,2026-02-27,PENDIENTE,ZONA3,true
P164,CLI-14,2026-02-28,PENDIENTE,ZONA4,false
P165,CLI-15,2026-03-01,PENDIENTE,ZONA1,true
P166,CLI-16,2026-03-02,PENDIENTE,ZONA2,false
P167,CLI-17,2026-03-03,PENDIENTE,ZONA3,true
P168,CLI-18,2026-03-04,PENDIENTE,ZONA4,false
P169,CLI-19,2026-03-05,PENDIENTE,ZONA1,false
P170,CLI-20,2026-03-06,PENDIENTE,ZONA2,false
P171,CLI-21,2026-03-07,PENDIENTE,ZONA3,true
P172,CLI-22,2026-03-08,PENDIENTE,ZONA4,false
P173,CLI-23,2026-03-09,PENDIENTE,ZONA1,true
P174,CLI-24,2026-03-10,PENDIENTE,ZONA2,false
P175,CLI-25,2026-03-11,PENDIENTE,ZONA3,true
P176,CLI-26,2026-03-12,PENDIENTE,ZONA4,false
P177,CLI-27,2026-03-13,PENDIENTE,ZONA1,false
P178,CLI-28,2026-03-14,PENDIENTE,ZONA2,false
P179,CLI-29,2026-03-15,PENDIENTE,ZONA3,true
P180,CLI-30,2026-03-16,PENDIENTE,ZONA4,false
P181,CLI-31,2026-03-17,PENDIENTE,ZONA1,true
P182,CLI-32,2026-03-18,PENDIENTE,ZONA2,false
P183,CLI-33,2026-03-19,PENDIENTE,ZONA3,true
P184,CLI-34,2026-03-20,PENDIENTE,ZONA4,false
P185,CLI-35,2026-03-21,PENDIENTE,ZONA1,false
P186,CLI-36,2026-03-22,PENDIENTE,ZONA2,false
P187,CLI-37,2026-03-23,PENDIENTE,ZONA3,true
P188,CLI-38,2026-03-24,PENDIENTE,ZONA4,false
P189,CLI-39,2026-03-25,PENDIENTE,ZONA1,true
P190,CLI-40,2026-03-26,PENDIENTE,ZONA2,false
P191,CLI-41,2026-03-27,PENDIENTE,ZONA3,true
P192,CLI-42,2026-03-28,PENDIENTE,ZONA4,false
P193,CLI-43,2026-03-29,PENDIENTE,ZONA1,false
P194,CLI-44,2026-03-30,PENDIENTE,ZONA2,false
P195,CLI-45,2026-03-31,PENDIENTE,ZONA3,true
P196,CLI-46,2026-04-01,PENDIENTE,ZONA4,false
P197,CLI-47,2026-04-02,PENDIENTE,ZONA1,true
P198,CLI-48,2026-04-03,PENDIENTE,ZONA2,false
P199,CLI-49,2026-04-04,PENDIENTE,ZONA3,true
P200,CLI-50,2026-04-05,PENDIENTE,ZONA4,false
P201,CLI-1,2026-04-06,PENDIENTE,ZONA1,true
P202,CLI-2,2026-04-07,PENDIENTE,ZONA2,false
P203,CLI-3,2026-04-08,PENDIENTE,ZONA3,true
P204,CLI-4,2026-04-09,PENDIENTE,ZONA4,false
P205,CLI-5,2026-04-10,PENDIENTE,ZONA1,false
P206,CLI-6,2026-04-11,PENDIENTE,ZONA2,false
P207,CLI-7,2026-04-12,PENDIENTE,ZONA3,true
P208,CLI-8,2026-04-13,PENDIENTE,ZONA4,false
P209,CLI-9,2026-04-14,PENDIENTE,ZONA1,true
P210,CLI-10,2026-04-15,PENDIENTE,ZONA2,false
P211,CLI-11,2026-04-16,PENDIENTE,ZONA3,true
P212,CLI-12,2026-04-17,PENDIENTE,ZONA4,false
P213,CLI-13,2026-04-18,PENDIENTE,ZONA1,false
P214,CLI-14,2026-04-19,PENDIENTE,ZONA2,false
P215,CLI-15,2026-04-20,PENDIENTE,ZONA3,true
P216,CLI-16,2026-04-21,PENDIENTE,ZONA4,false
P217,CLI-17,2026-04-22,PENDIENTE,ZONA1,true
P218,CLI-18,2026-04-23,PENDIENTE,ZONA2,false
P219,CLI-19,2026-04-24,PENDIENTE,ZONA3,true
P220,CLI-20,2026-04-25,PENDIENTE,ZONA4,false
P221,CLI-21,2026-04-26,PENDIENTE,ZONA1,false
P222,CLI-22,2026-04-27,PENDIENTE,ZONA2,false
P223,CLI-23,2026-04-28,PENDIENTE,ZONA3,true
P224,CLI-24,2026-04-29,PENDIENTE,ZONA4,false
P225,CLI-25,2026-04-30,PENDIENTE,ZONA1,true
P226,CLI-26,2026-05-01,PENDIENTE,ZONA2,false
P227,CLI-27,2026-05-02,PENDIENTE,ZONA3,true
P228,CLI-28,2026-05-03,PENDIENTE,ZONA4,false
P229,CLI-29,2026-05-04,PENDIENTE,ZONA1,false
P230,CLI-30,2026-05-05,PENDIENTE,ZONA2,false
P231,CLI-31,2026-05-06,PENDIENTE,ZONA3,true
P232,CLI-32,2026-05-07,PENDIENTE,ZONA4,false
P233,CLI-33,2026-05-08,PENDIENTE,ZONA1,true
P234,CLI-34,2026-05-09,PENDIENTE,ZONA2,false
P235,CLI-35,2026-05-10,PENDIENTE,ZONA3,true
P236,CLI-36,2026-05-11,PENDIENTE,ZONA4,false
P237,CLI-37,2026-05-12,PENDIENTE,ZONA1,false
P238,CLI-38,2026-05-13,PENDIENTE,ZONA2,false
P239,CLI-39,2026-05-14,PENDIENTE,ZONA3,true
P240,CLI-40,2026-05-15,PENDIENTE,ZONA4,false
P241,CLI-41,2026-05-16,PENDIENTE,ZONA1,true
P242,CLI-42,2026-05-17,PENDIENTE,ZONA2,false
P243,CLI-43,2026-05-18,PENDIENTE,ZONA3,true
P244,CLI-44,2026-05-19,PENDIENTE,ZONA4,false
P245,CLI-45,2026-05-20,PENDIENTE,ZONA1,false
P246,CLI-46,2026-05-21,PENDIENTE,ZONA2,false
P247,CLI-47,2026-05-22,PENDIENTE,ZONA3,true
P248,CLI-48,2026-05-23,PENDIENTE,ZONA4,false
P249,CLI-49,2026-05-24,PENDIENTE,ZONA1,true
P250,CLI-50,2026-05-25,PENDIENTE,ZONA2,false
